Meter S/N:, "REV_DA_16"
Sensor, Thermo, Quad, 1A365, LM-3 QHTD HD
Date, 11/20/2014 1:59:51 PM
Units, W
Timestamp, Measurement, X, Y, Sequence, Flags, Flags (interpreted), Period
20.7, 0.154639184474945, -1.42875015735626, -2.03191518783569, 20700010, 0, 0, 0
20.8, 0.154667764902115, -1.44074201583862, -2.14428400993347, 20800010, 0, 0, 0
20.9, 0.154403671622276, -1.39134204387665, -2.29895043373108, 20900010, 0, 0, 0
21, 0.153291314840317, -1.29555475711823, -2.34693646430969, 21000010, 0, 0, 0
21.1, 0.153765231370926, -1.27591347694397, -2.434002161026, 21100010, 0, 0, 0
21.2, 0.153306841850281, -1.22123396396637, -2.58562970161438, 21200010, 0, 0, 0
21.3, 0.15175986289978, -1.19460475444794, -2.57146406173706, 21300010, 0, 0, 0
21.4, 0.15077231824398, -1.12860131263733, -2.64914226531982, 21400010, 0, 0, 0
21.5, 0.150454074144363, -1.02424645423889, -2.7026252746582, 21500010, 0, 0, 0
21.6, 0.149314776062965, -1.06832408905029, -2.7930166721344, 21600010, 0, 0, 0
21.7, 0.147892490029335, -0.877271771430969, -2.82880663871765, 21700010, 0, 0, 0
21.8, 0.146711900830269, -0.793718993663788, -2.90117263793945, 21800010, 0, 0, 0
21.9, 0.145907670259476, -0.769258439540863, -2.91336536407471, 21900010, 0, 0, 0
22, 0.145059078931808, -0.723442912101746, -2.98757171630859, 22000010, 0, 0, 0
22.1, 0.143502473831177, -0.736937940120697, -2.9027271270752, 22100010, 0, 0, 0
22.2, 0.141526311635971, -0.552271485328674, -2.88614678382874, 22200010, 0, 0, 0
22.3, 0.139381393790245, -0.394037753343582, -2.78752613067627, 22300010, 0, 0, 0
22.4, 0.137892425060272, -0.27023708820343, -2.61850476264954, 22400010, 0, 0, 0
22.5, 0.137393981218338, -0.101812683045864, -2.52957248687744, 22500010, 0, 0, 0
22.6, 0.135945856571198, 0.0817257836461067, -2.48012518882751, 22600010, 0, 0, 0
22.7, 0.134537845849991, 0.218183308839798, -2.40814447402954, 22700010, 0, 0, 0
22.8, 0.134798243641853, 0.385206758975983, -2.39163970947266, 22800010, 0, 0, 0
22.9, 0.136333867907524, 0.501001358032227, -2.4245228767395, 22900010, 0, 0, 0
